# Export date and time: Wed Jul 9 18:47:25 2025
# Name: 2025_07_09_25nm_270
#    Date: Wed Jul 9 17:05:25 2025
#    Weight: 7.2 mg
Temperature (°C)	Corrected delta m (2025_07_09_25nm_270) (mg)
349.09	-0.17
350.09	-0.18
351.09	-0.17
352.09	-0.16
353.09	-0.17
354.09	-0.17
355.09	-0.17
356.09	-0.16
357.09	-0.17
358.09	-0.17
359.09	-0.18
360.09	-0.17
361.09	-0.18
362.09	-0.18
363.09	-0.19
364.09	-0.18
365.09	-0.19
366.09	-0.18
367.09	-0.17
368.09	-0.19
369.09	-0.19
370.09	-0.19
371.09	-0.19
372.09	-0.20
373.09	-0.20
374.09	-0.21
375.09	-0.21
376.09	-0.22
377.09	-0.22
378.09	-0.22
379.09	-0.21
380.09	-0.21
381.09	-0.22
382.09	-0.21
383.09	-0.22
384.09	-0.22
385.09	-0.22
386.09	-0.23
387.09	-0.22
388.09	-0.23
389.09	-0.23
390.09	-0.23
391.09	-0.23
392.09	-0.23
393.09	-0.22
394.09	-0.23
395.09	-0.23
396.09	-0.24
397.09	-0.24
398.09	-0.23
399.09	-0.24
400.09	-0.24
401.09	-0.25
402.09	-0.24
403.09	-0.24
404.09	-0.25
405.09	-0.24
406.09	-0.25
407.09	-0.26
408.09	-0.26
409.09	-0.25
410.09	-0.25
411.09	-0.25
412.09	-0.25
413.09	-0.26
414.09	-0.26
415.09	-0.25
416.09	-0.27
417.09	-0.25
418.09	-0.25
419.09	-0.25
420.09	-0.23
421.09	-0.24
422.09	-0.25
423.09	-0.25
424.09	-0.26
425.09	-0.26
426.09	-0.26
427.09	-0.26
428.09	-0.26
429.09	-0.27
430.09	-0.27
431.09	-0.28
432.09	-0.28
433.09	-0.28
434.09	-0.28
435.09	-0.28
436.09	-0.28
437.09	-0.29
438.09	-0.29
439.09	-0.27
440.09	-0.28
441.09	-0.29
442.09	-0.29
443.09	-0.29
444.09	-0.29
445.09	-0.29
446.09	-0.29
447.09	-0.29
448.09	-0.29
449.09	-0.29
450.09	-0.30
451.09	-0.30
452.09	-0.30
453.09	-0.30
454.09	-0.31
455.09	-0.31
456.09	-0.32
457.09	-0.32
458.09	-0.32
459.09	-0.34
460.09	-0.34
461.09	-0.34
462.09	-0.35
463.09	-0.35
464.09	-0.35
465.09	-0.36
466.09	-0.36
467.09	-0.37
468.09	-0.37
469.09	-0.39
470.09	-0.39
471.09	-0.39
472.09	-0.39
473.09	-0.40
474.09	-0.41
475.09	-0.42
476.09	-0.43
477.09	-0.44
478.09	-0.45
479.09	-0.45
480.09	-0.47
481.09	-0.48
482.09	-0.48
483.09	-0.51
484.09	-0.52
485.09	-0.52
486.09	-0.53
487.09	-0.55
488.09	-0.57
489.09	-0.57
490.09	-0.58
491.09	-0.59
492.09	-0.60
493.09	-0.61
494.09	-0.62
495.09	-0.64
496.09	-0.64
497.09	-0.65
498.09	-0.67
499.09	-0.69
500.09	-0.71
501.09	-0.73
502.09	-0.75
503.09	-0.76
504.09	-0.78
505.09	-0.80
506.09	-0.82
507.09	-0.83
508.09	-0.85
509.09	-0.86
510.09	-0.88
511.09	-0.90
512.09	-0.91
513.09	-0.93
514.09	-0.95
515.09	-0.95
516.09	-0.97
517.09	-0.99
518.09	-1.00
519.09	-1.02
520.09	-1.05
521.09	-1.06
522.09	-1.08
523.09	-1.10
524.09	-1.11
525.09	-1.12
526.09	-1.14
527.09	-1.15
528.09	-1.17
529.09	-1.19
530.09	-1.21
531.09	-1.22
532.09	-1.23
533.09	-1.24
534.09	-1.27
535.09	-1.28
536.09	-1.30
537.09	-1.32
538.09	-1.32
539.09	-1.34
540.09	-1.35
541.09	-1.36
542.09	-1.37
543.09	-1.38
544.09	-1.40
545.09	-1.42
546.09	-1.42
547.09	-1.44
548.09	-1.44
549.09	-1.45
550.09	-1.46
551.09	-1.45
552.09	-1.48
553.09	-1.48
554.09	-1.49
555.09	-1.50
556.09	-1.51
557.09	-1.51
558.09	-1.54
559.09	-1.55
560.09	-1.56
561.09	-1.56
562.09	-1.56
563.09	-1.57
564.09	-1.58
565.09	-1.59
566.09	-1.61
567.09	-1.63
568.09	-1.64
569.09	-1.64
570.09	-1.65
571.09	-1.66
572.09	-1.67
573.09	-1.68
574.09	-1.69
575.09	-1.70
576.09	-1.71
577.09	-1.73
578.09	-1.74
579.09	-1.74
580.09	-1.76
581.09	-1.76
582.09	-1.77
583.09	-1.78
584.09	-1.78
585.09	-1.81
586.09	-1.79
587.09	-1.81
588.09	-1.83
589.09	-1.84
590.09	-1.85
591.09	-1.86
592.09	-1.87
593.09	-1.87
594.09	-1.87
595.09	-1.87
596.09	-1.89
597.09	-1.91
598.09	-1.91
599.09	-1.93
600.09	-1.94
601.09	-1.95
602.09	-1.96
603.09	-1.98
604.09	-1.99
605.09	-1.99
606.09	-2.01
607.09	-2.01
608.09	-2.03
609.09	-2.05
610.09	-2.08
611.09	-2.08
612.09	-2.09
613.09	-2.10
614.09	-2.11
615.09	-2.12
616.09	-2.14
617.09	-2.15
618.09	-2.17
619.09	-2.18
620.09	-2.20
621.09	-2.21
622.09	-2.23
623.09	-2.24
624.09	-2.26
625.09	-2.27
626.09	-2.28
627.09	-2.29
628.09	-2.31
629.09	-2.33
630.09	-2.33
631.09	-2.35
632.09	-2.38
633.09	-2.39
634.09	-2.41
635.09	-2.43
636.09	-2.44
637.09	-2.46
638.09	-2.48
639.09	-2.50
640.09	-2.51
641.09	-2.54
642.09	-2.55
643.09	-2.58
644.09	-2.60
645.09	-2.62
646.09	-2.63
647.09	-2.66
648.09	-2.67
649.09	-2.70
650.09	-2.71
651.09	-2.73
652.09	-2.75
653.09	-2.78
654.09	-2.80
655.09	-2.82
656.09	-2.84
657.09	-2.87
658.09	-2.88
659.09	-2.90
660.09	-2.91
661.09	-2.94
662.09	-2.96
663.09	-2.98
664.09	-3.01
665.09	-3.03
666.09	-3.06
667.09	-3.08
668.09	-3.09
669.09	-3.12
670.09	-3.13
671.09	-3.16
672.09	-3.18
673.09	-3.21
674.09	-3.23
675.09	-3.25
676.09	-3.27
677.09	-3.29
678.09	-3.31
679.09	-3.35
680.09	-3.37
681.09	-3.39
682.09	-3.42
683.09	-3.43
684.09	-3.46
685.09	-3.49
686.09	-3.51
687.09	-3.52
688.09	-3.55
689.09	-3.58
690.09	-3.60
691.09	-3.64
692.09	-3.65
693.09	-3.68
694.09	-3.70
695.09	-3.72
696.09	-3.76
697.09	-3.78
698.09	-3.80
699.09	-3.83
700.09	-3.86
701.09	-3.88
702.09	-3.91
703.09	-3.93
704.09	-3.96
705.09	-3.98
706.09	-4.01
707.09	-4.03
708.09	-4.06
709.09	-4.09
710.09	-4.12
711.09	-4.14
712.09	-4.17
713.09	-4.19
714.09	-4.20
715.09	-4.24
716.09	-4.25
717.09	-4.29
718.09	-4.31
719.09	-4.35
720.09	-4.37
721.09	-4.41
722.09	-4.44
723.09	-4.46
724.09	-4.49
725.09	-4.51
726.09	-4.55
727.09	-4.57
728.09	-4.58
729.09	-4.64
730.09	-4.64
731.09	-4.67
732.09	-4.73
733.09	-4.73
734.09	-4.77
735.09	-4.80
736.09	-4.82
737.09	-4.83
738.09	-4.84
739.09	-4.86
740.09	-4.94
741.09	-4.92
742.09	-4.92
743.09	-5.02
744.09	-4.97
745.09	-4.99
746.09	-5.08
747.09	-5.10
748.09	-5.13
749.09	-5.11
750.09	-5.13
751.09	-5.17
752.09	-5.19
753.09	-5.20
754.09	-5.23
755.09	-5.25
756.09	-5.26
757.09	-5.29
758.09	-5.32
759.09	-5.33
760.09	-5.36
761.09	-5.39
762.09	-5.41
763.09	-5.44
764.09	-5.46
765.09	-5.47
766.09	-5.49
767.09	-5.51
768.09	-5.54
769.09	-5.55
770.09	-5.58
771.09	-5.60
772.09	-5.62
773.09	-5.64
774.09	-5.66
775.09	-5.69
776.09	-5.70
777.09	-5.74
778.09	-5.76
779.09	-5.78
780.09	-5.81
781.09	-5.82
782.09	-5.84
783.09	-5.87
784.09	-5.89
785.09	-5.92
786.09	-5.95
787.09	-5.98
788.09	-6.00
789.09	-6.03
790.09	-6.05
791.09	-6.07
792.09	-6.10
793.09	-6.11
794.09	-6.14
795.09	-6.17
796.09	-6.19
797.09	-6.22
798.09	-6.24
799.09	-6.26
800.09	-6.27
801.09	-6.30
802.09	-6.33
803.09	-6.34
804.09	-6.37
805.09	-6.39
806.09	-6.41
807.09	-6.45
808.09	-6.46
809.09	-6.48
810.09	-6.50
811.09	-6.52
812.09	-6.55
813.09	-6.57
814.09	-6.59
815.09	-6.62
816.09	-6.64
817.09	-6.67
818.09	-6.68
819.09	-6.69
820.09	-6.71
821.09	-6.75
822.09	-6.77
823.09	-6.75
824.09	-6.78
825.09	-6.79
826.09	-6.83
827.09	-6.82
828.09	-6.82
829.09	-6.84
830.09	-6.80
831.09	-6.86
832.09	-6.86
833.09	-6.90
834.09	-6.82
835.09	-6.79
836.09	-6.90
837.09	-6.85
838.09	-6.79
839.09	-6.79
840.09	-6.82
841.09	-6.77
842.09	-6.84
843.09	-6.90
844.09	-6.78
845.09	-6.85
846.09	-6.81
847.09	-6.89
848.09	-6.78
849.09	-6.80
850.09	-6.91
851.09	-6.91
852.09	-6.90
853.09	-6.79
854.09	-6.89
855.09	-6.84
856.09	-6.85
857.09	-6.86
858.09	-6.88
859.09	-6.82
860.09	-6.86
861.09	-6.88
862.09	-6.87
863.09	-6.83
864.09	-6.82
865.09	-6.83
866.09	-6.83
867.09	-6.84
868.09	-6.85
869.09	-6.81
870.09	-6.85
871.09	-6.84
872.09	-6.84
873.09	-6.83
874.09	-6.84
875.09	-6.82
876.09	-6.84
877.09	-6.84
878.09	-6.86
879.09	-6.85
880.09	-6.85
881.09	-6.83
882.09	-6.84
883.09	-6.83
884.09	-6.84
885.09	-6.84
886.09	-6.84
887.09	-6.83
888.09	-6.84
889.09	-6.84
890.09	-6.84
891.09	-6.84
892.09	-6.83
893.09	-6.84
894.09	-6.83
895.09	-6.84
896.09	-6.82
897.09	-6.81
898.09	-6.82
899.09	-6.78
